channel_id,channel_name,views,total_videos,subscribers
UCFfbH3zDLa47d4nfotQ349Q,投資最容易,3314510,395,34900
UCCjW9xzAsCSKIzDYCx8CuxA,智偉保險理財Talk,2838267,433,39700
UCD5Lx-3KCYZzCzGF2A60STg,Bowtie Insurance 保泰人壽,52434288,337,84600
UC8OVLoXv7B1BdOVV44Dz3ig,Project Umbrella,1316422,235,20100
UCxQfqaw1i39eBQG1YJDbDkw,UTOPIA HK,622562,324,4170
UC7OUGIPx0HIB5HA2OSL-Zhg,MW Insurance Academe 保險為什麼,797608,1855,5390
